Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-Alter/Repair,SOUTH LA,10/5/2017,25000,1,RD2-1XL,33.73525,-118.29129
Bldg-New,VAN NUYS,4/6/2017,185000,1,A1-1,34.2271,-118.62471
Bldg-New,METRO,6/24/2014,321162,1,R4(PV),33.97471,-118.41815
Bldg-Addition,VAN NUYS,4/22/2013,21100,1,CW,34.06092,-118.26046
Bldg-New,METRO,3/26/2015,3245000,1,RE20-1,34.08138,-118.43908
Bldg-New,SOUTH LA,11/19/2014,221000,1,(T)(Q)RD2-1,33.883,-118.28742
Bldg-New,METRO,10/27/2016,301,1,RD1.5-1-O,34.04573,-118.34024
Bldg-New,METRO,4/29/2014,410510,1,R4(PV),33.97487,-118.42004
Bldg-New,VAN NUYS,6/12/2017,410000,1,[T]RE-1,34.29213,-118.57822
Bldg-New,METRO,10/12/2017,240000,1,R3-1-O,34.05714,-118.34968
Bldg-Addition,METRO,4/30/2013,70000,1,RA-1-K,34.24545,-118.36519
Bldg-New,VAN NUYS,1/25/2013,591300,1,R1-1-O,34.06742,-118.36252
Bldg-New,WEST LA,8/28/2018,1396030,1,RS-1,34.05903,-118.48327
Bldg-New,METRO,10/3/2014,280000,1,R1-1,33.98717,-118.45629
Bldg-New,VAN NUYS,7/30/2015,350000,1,R1-1,34.04136,-118.37098
Bldg-Addition,METRO,6/7/2017,9000,1,R1-1-RIO,34.11922,-118.26374
Bldg-New,WEST LA,10/22/2013,500000,1,R1-1,34.03174,-118.51762
Bldg-New,VAN NUYS,11/29/2016,400000,1,[T]RE11-1-H,34.22115,-118.64877
Bldg-New,VAN NUYS,2/5/2019,970000,1,RA-1,34.1786,-118.55912
Bldg-New,METRO,12/20/2016,370064,1,RD2-1VL,34.08369,-118.28101
Bldg-New,VAN NUYS,10/12/2017,810000,1,RA-1,34.16652,-118.5499
Bldg-New,METRO,12/18/2015,800000,1,R2-1,33.99196,-118.46371
Bldg-New,VAN NUYS,11/16/2017,275000,1,(T)RS-1-RIO,34.18195,-118.52681
Bldg-New,WEST LA,2/9/2016,650000,1,R1-1,34.14767,-118.43711
Bldg-New,METRO,2/14/2014,500000,1,RD1.5-1,33.99279,-118.47534
Bldg-New,METRO,1/27/2014,500000,1,RD1.5-1-O,33.99055,-118.46808
Bldg-Alter/Repair,VAN NUYS,3/29/2017,21500,1,R1-1-RIO,34.19657,-118.56596
Bldg-New,METRO,8/8/2014,178671,1,R3-1XL,34.09375,-118.33153
Bldg-New,VAN NUYS,9/7/2018,617000,1,R1-1,34.06633,-118.45733
Bldg-Alter/Repair,VAN NUYS,7/7/2015,18000,1,RD2-1,34.18773,-118.37009
Bldg-New,WEST LA,4/24/2014,285000,1,RD1.5-1VL,34.07532,-118.25084
Bldg-New,SOUTH LA,7/3/2018,120000,1,RD2-1,33.9725,-118.29067
Bldg-New,METRO,6/22/2015,518819,1,R1-1VLD,34.00195,-118.45415
Bldg-New,VAN NUYS,7/13/2016,465250,1,R1-1,34.07695,-118.3712
Bldg-Addition,METRO,11/19/2015,60000,1,RD2-1,34.01977,-118.29287
Bldg-New,METRO,1/16/2015,264780,1,[Q]C2-1VL,33.9601,-118.40419
Bldg-New,METRO,7/12/2013,250000,1,[Q]R1-1D,34.09228,-118.17519
Bldg-New,VAN NUYS,6/12/2015,341000,1,R1-1,34.04601,-118.5228
Bldg-New,VAN NUYS,7/22/2014,720000,1,R1-1,34.03917,-118.55691
Bldg-New,METRO,11/2/2015,400000,1,R1-1,34.08109,-118.34994
Bldg-New,VAN NUYS,9/20/2013,217698,1,C2-1,34.08299,-118.3122
Bldg-Addition,METRO,7/14/2014,250141,1,RD1.5-1,34.04226,-118.36236
Bldg-Alter/Repair,VAN NUYS,5/9/2017,32000,1,R1-1-RFA,34.25128,-118.27633
Bldg-New,WEST LA,10/7/2015,591320,1,R1-1,34.16112,-118.42747
Bldg-New,VAN NUYS,12/13/2013,553700,1,R1-1,34.1448,-118.42504
Bldg-New,METRO,10/24/2013,503271,1,RD1.5-1,33.99632,-118.4707
Bldg-New,METRO,4/11/2017,245430,1,RD2-1-O,34.03423,-118.28592
Bldg-New,METRO,5/28/2015,220000,1,[T][Q]C2-1,33.75748,-118.29434
Bldg-Alter/Repair,METRO,1/29/2013,0,1,[Q]RD1.5-1,34.18739,-118.44256
Bldg-Alter/Repair,METRO,3/23/2017,10000,1,R1-1,34.06655,-118.30643
Bldg-New,VAN NUYS,10/14/2014,550000,1,R1-1-RFA,34.14289,-118.38211
Bldg-New,VAN NUYS,12/6/2013,166000,1,[Q]RD1.5-1,34.20173,-118.45324
Bldg-New,VAN NUYS,11/4/2015,430000,1,[T]RE-1,34.29119,-118.57941
Bldg-New,VAN NUYS,4/22/2013,350000,1,[T]RE-1,34.28677,-118.58581
Bldg-New,VAN NUYS,8/9/2018,500000,1,[T]RE-1,34.29181,-118.58141
Bldg-New,METRO,7/6/2015,210456,1,RD1.5-1,34.13669,-118.21698
Bldg-New,METRO,3/1/2016,325000,1,[Q]R1-1D,34.08156,-118.19986
Bldg-New,METRO,12/20/2016,292900,1,RD2-1VL,34.08369,-118.28101
Bldg-New,SANPEDRO,10/2/2014,190000,1,R1-1XL,33.73005,-118.31175
Bldg-New,VAN NUYS,1/23/2015,400000,1,RE11-1,34.11863,-118.37219
Bldg-New,VAN NUYS,11/2/2015,48000,1,R1-1,34.27771,-118.41567
Bldg-New,METRO,10/19/2017,1200000,1,RE15-1,34.06662,-118.47613
Bldg-New,METRO,6/30/2016,646000,1,R1-1,34.03553,-118.50927
Bldg-New,METRO,9/8/2017,205743,1,(T)(Q)RAS3-1VL,34.18683,-118.41836
Bldg-New,VAN NUYS,5/8/2014,235630,1,RD5-1,34.24541,-118.40996
Bldg-New,WEST LA,9/14/2015,2820000,1,RE15-1-H,34.09909,-118.3877
Bldg-New,METRO,4/17/2014,352044,1,R4(PV),33.97419,-118.4182
Bldg-Addition,METRO,8/20/2014,90000,1,R3-1,33.92449,-118.273
Bldg-Alter/Repair,VAN NUYS,2/8/2017,6000,1,R1-1,34.06827,-118.34096
Bldg-New,WEST LA,10/2/2014,415000,1,R2-1,34.04044,-118.44433
Bldg-New,VAN NUYS,12/1/2015,500000,1,R1-1,34.04024,-118.37156
Bldg-New,WEST LA,3/9/2018,140000,1,R1-1,33.94171,-118.26018
Bldg-New,WEST LA,4/2/2015,500000,1,R1-1-O,34.05028,-118.41746
Bldg-New,METRO,2/24/2016,153182,1,[Q]CM-1VL,34.08848,-118.25995
Bldg-New,VAN NUYS,4/19/2018,698000,1,RE9-1,34.16378,-118.48166
Bldg-New,METRO,3/15/2017,202489,1,[Q]C2-1VL-CDO,34.12238,-118.22204
Bldg-New,VAN NUYS,8/10/2016,1600000,1,R1-1,34.04982,-118.51867
Bldg-New,VAN NUYS,4/28/2015,241000,1,R3-1,34.07908,-118.31588
Bldg-New,VAN NUYS,10/10/2013,150000,1,[T]C4-2D,34.28077,-118.57783
Bldg-Alter/Repair,METRO,12/5/2014,5000,1,RD1.5-1,34.02314,-118.29442
Bldg-New,VAN NUYS,4/12/2013,259000,1,R1-1,34.21366,-118.57201
Bldg-New,WEST LA,7/3/2013,495000,1,R1-1,34.07674,-118.36809
Bldg-New,VAN NUYS,4/22/2013,377000,1,[T]RE-1,34.28574,-118.58597
Bldg-New,WEST LA,2/23/2015,197006,1,R3-1XL,34.1059,-118.32281
Bldg-New,METRO,7/8/2013,228000,1,R3-1,34.00329,-118.42251
Bldg-New,METRO,12/5/2014,211060,1,RD1.5-1,34.16641,-118.39445
Bldg-Alter/Repair,METRO,4/23/2014,20000,1,RD1.5-1XL,34.11234,-118.32065
Bldg-New,METRO,7/11/2017,501,1,RD1.5-1,33.9957,-118.48011
Bldg-New,VAN NUYS,11/30/2015,184000,1,(T)(Q)RD3-1,34.20861,-118.39762
Bldg-New,VAN NUYS,4/6/2017,700000,1,R1-1,34.04754,-118.52105
Bldg-New,METRO,9/1/2017,420000,1,R1-1,34.1579,-118.52557
Bldg-New,METRO,9/29/2016,283403,1,[Q]C2-1VL-CDO,34.12296,-118.22228
Bldg-New,VAN NUYS,2/19/2016,349000,1,(T)(Q)RS-1-RFA,34.27168,-118.31429
Bldg-New,VAN NUYS,12/3/2015,600000,1,RE15-1-H,34.09646,-118.41458
Bldg-New,SOUTH LA,2/20/2018,211000,1,RD1.5-1,34.03386,-118.3673
Bldg-New,METRO,6/22/2015,220000,1,R1-1,33.94216,-118.23389
Bldg-New,VAN NUYS,3/21/2014,188000,1,RD3-1-H,34.1195,-118.34074
Bldg-New,METRO,9/2/2014,1600000,1,RE40-1-H,34.08263,-118.44568
Bldg-New,VAN NUYS,5/12/2015,755000,1,R1-1-RFA-RIO,34.15483,-118.40817
Bldg-Addition,SOUTH LA,10/24/2016,157000,1,[Q]C2-1,33.9592,-118.2764
Bldg-New,METRO,1/26/2016,114291,1,[Q]R3-1VL,33.78667,-118.30487
Bldg-New,VAN NUYS,11/30/2015,184000,1,(T)(Q)RD3-1,34.20861,-118.39762
Bldg-New,METRO,3/17/2017,190000,1,R2-1,34.08511,-118.1671
Bldg-Addition,METRO,2/21/2013,200000,1,R2-1XL,33.74432,-118.28722
Bldg-New,VAN NUYS,8/19/2013,671000,1,R2-1XL,34.08695,-118.36709
Bldg-Alter/Repair,VAN NUYS,5/15/2017,5000,1,R1-1,34.15467,-118.59853
Bldg-New,WEST LA,3/10/2017,2145000,1,RE15-1-H,34.10146,-118.38625
Bldg-New,VAN NUYS,5/11/2015,163000,1,R3-1,34.15077,-118.38458
Bldg-New,METRO,8/1/2017,300000,1,R1-1,34.02702,-118.42158
Bldg-New,METRO,10/18/2013,200000,1,RD2-1,34.18986,-118.36936
Bldg-Addition,VAN NUYS,2/18/2014,51200,1,R1-1,34.28616,-118.41666
Bldg-New,VAN NUYS,5/30/2014,3550000,1,RA-1,34.06925,-118.48147
Bldg-New,VAN NUYS,12/1/2017,305000,1,(T)(Q)R1-1,34.22509,-118.62348
Bldg-New,METRO,1/27/2014,194000,1,RD1.5-1XL,34.10846,-118.26581
Bldg-New,METRO,1/12/2015,163771.5,1,RD1.5-1,34.11729,-118.17089
Bldg-New,VAN NUYS,11/28/2017,592000,1,R1-1,34.16273,-118.47479
Bldg-New,WEST LA,6/14/2018,850000,1,RE20-1-H,34.09576,-118.42829
Bldg-New,WEST LA,5/11/2017,300000,1,R3-1,34.07362,-118.31048
Bldg-New,METRO,8/8/2013,331252,1,R4(PV),33.97353,-118.41881
Bldg-New,WEST LA,1/9/2015,375217,1,R1-1,33.98958,-118.42361
Bldg-New,METRO,12/26/2013,205600,1,[T][Q]RD1.5-1,33.75748,-118.29434
Bldg-New,METRO,1/9/2014,252835,1,[Q]R3-1-O,34.05111,-118.36897
Bldg-New,VAN NUYS,4/11/2017,517000,1,R1-1,34.08108,-118.35123
Bldg-Alter/Repair,METRO,11/3/2014,5000,1,RD1.5-1-O,34.07809,-118.35901
Bldg-New,VAN NUYS,2/20/2015,445000,1,R1-1,34.07889,-118.372
Bldg-New,METRO,12/7/2015,494286,1,C2(PV),33.97691,-118.41357
Bldg-New,VAN NUYS,12/27/2013,500000,1,RE15-1-H,34.07572,-118.4793
Bldg-Alter/Repair,VAN NUYS,9/24/2013,10000,1,R1-1-O,34.25857,-118.41821
Bldg-Addition,SOUTH LA,10/17/2014,48000,1,R2-1,33.99233,-118.25884
Bldg-New,VAN NUYS,7/27/2016,440000,1,[T]RE-1,34.29119,-118.57878
Bldg-New,VAN NUYS,7/29/2016,530000,1,R1-1,34.07918,-118.37016
Bldg-Alter/Repair,METRO,2/23/2016,9000,1,RD1.5-1,34.19672,-118.39526
Bldg-Addition,METRO,5/18/2017,50000,1,R2-1XL,33.7459,-118.28867
Bldg-New,VAN NUYS,1/4/2019,180000,1,R1-1,34.30633,-118.43787
Bldg-New,VAN NUYS,6/5/2015,145000,1,RA-1,34.1793,-118.62265
Bldg-New,METRO,5/14/2015,264017,1,R2-1,33.83486,-118.2994
Bldg-New,VAN NUYS,8/25/2014,207000,1,R3-1,34.07295,-118.3625
Bldg-New,VAN NUYS,10/22/2013,575000,1,R1-1-O,34.06834,-118.36331
Bldg-Addition,VAN NUYS,9/30/2016,37000,1,R1-1,34.30401,-118.43065
Bldg-Addition,VAN NUYS,6/10/2013,234000,1,R2-1,33.98247,-118.29494
Bldg-New,VAN NUYS,8/26/2015,391000,1,R1-1-RFA-RIO,34.14755,-118.3802
Bldg-New,VAN NUYS,5/18/2015,475000,1,R1-1,34.17323,-118.43001
Bldg-Addition,VAN NUYS,1/13/2015,29000,1,RE11-1,34.17414,-118.57234
Bldg-New,VAN NUYS,3/27/2018,638000,1,R1V2,33.99733,-118.44885
Bldg-New,VAN NUYS,5/23/2017,249000,1,(T)R1-1-RIO,34.19345,-118.54123
Bldg-Alter/Repair,SOUTH LA,8/31/2016,25000,1,R3-1XL,34.09355,-118.29268
Bldg-New,WEST LA,12/21/2015,100000,1,RA-1,34.2197,-118.5414
Bldg-New,VAN NUYS,9/2/2014,1000000,1,R1-1,34.0428,-118.52835
Bldg-New,METRO,12/14/2017,3150000,1,RE40-1,34.08118,-118.42807
Bldg-New,METRO,3/20/2019,1695744,1,RE40-1-H,34.13976,-118.43874
Bldg-New,VAN NUYS,3/17/2017,276000,1,RA-1,34.23935,-118.47515
Bldg-New,VAN NUYS,11/15/2016,425000,1,R1-1,34.08207,-118.34756
Bldg-New,SOUTH LA,9/26/2016,350000,1,R1-1-O,34.05332,-118.3857
Bldg-New,METRO,1/4/2016,331002,1,R1-1,34.12262,-118.17401
Bldg-New,METRO,10/18/2013,195000,1,RD2-1,34.18993,-118.36951
Bldg-New,METRO,1/12/2015,303053,1,R2-1,33.83972,-118.2994
Bldg-New,WEST LA,1/15/2015,1875000,1,RE15-1-H,34.12673,-118.41876
Bldg-New,VAN NUYS,11/25/2014,155000,1,R1-1-O,34.27015,-118.42758
Bldg-New,VAN NUYS,10/27/2014,680000,1,R1-1,34.04472,-118.52146
Bldg-New,WEST LA,2/3/2014,565000,1,R1-1,34.06003,-118.42876
Bldg-New,VAN NUYS,9/29/2014,420000,1,RE40-1,34.16371,-118.59999
Bldg-New,METRO,12/7/2015,494286,1,C2(PV),33.97666,-118.41372
Bldg-New,METRO,5/28/2013,600000,1,R2-1,33.994,-118.4614
Bldg-Alter/Repair,WEST LA,6/13/2018,10000,1,R3-1,33.97302,-118.37372
Bldg-New,VAN NUYS,3/26/2015,80200,1,RS-1,34.20394,-118.58615
Bldg-New,VAN NUYS,9/12/2013,208000,1,R1-1,34.27527,-118.44811
Bldg-New,VAN NUYS,12/23/2015,655000,1,R1-1,34.15923,-118.4913
Bldg-Addition,VAN NUYS,5/16/2017,185000,1,[Q]RD1.5-1,34.18778,-118.45582
Bldg-New,VAN NUYS,11/5/2013,415000,1,R1-1-RFA,34.14622,-118.39882
Bldg-New,WEST LA,7/30/2018,4200000,1,RE20-1-H,34.09167,-118.44254
Bldg-Addition,METRO,1/6/2015,55000,1,R1-1,34.10743,-118.21435
Bldg-New,WEST LA,12/8/2016,226426,1,R3-1-O,34.07192,-118.3736
Bldg-New,VAN NUYS,10/25/2013,700000,1,R1-1,34.04627,-118.51765
Bldg-New,METRO,3/5/2013,501,1,RE20-1,34.11125,-118.21802
Bldg-New,METRO,6/28/2016,450000,1,R2-1VL,34.08614,-118.26281
Bldg-New,METRO,3/19/2014,280000,1,RD2-1,34.13205,-118.26764
Bldg-Addition,VAN NUYS,9/4/2013,100000,1,RD2-1VL,34.09083,-118.27356
Bldg-New,VAN NUYS,7/14/2017,340500,1,R1-1,34.19841,-118.44449
Bldg-Alter/Repair,VAN NUYS,8/5/2015,10000,1,R1-1,34.23802,-118.43442
Bldg-New,VAN NUYS,6/28/2016,275000,1,[T]RE11-1-H,34.22129,-118.64727
Bldg-New,VAN NUYS,1/26/2015,430000,1,[T]RE-1,34.2917,-118.57985
Bldg-New,METRO,12/5/2016,185000,1,[Q]R3-1,34.15441,-118.36679
Bldg-New,VAN NUYS,7/31/2013,100000,1,R1-1-O,34.04513,-118.36422
Bldg-New,METRO,10/8/2015,470657,1,C2(PV),33.97607,-118.41393
Bldg-New,METRO,5/18/2016,1761248,1,R1-1,34.05398,-118.5245
Bldg-New,METRO,7/29/2014,350000,1,R1-1,34.11864,-118.26788
Bldg-New,VAN NUYS,6/5/2014,450000,1,R1-1-RFA,34.14881,-118.38432
Bldg-New,METRO,5/30/2014,4262408,1,RE20-1-H,34.08955,-118.44132
Bldg-New,VAN NUYS,1/17/2017,267000,1,RA-1,34.20851,-118.55195
Bldg-New,WEST LA,6/19/2018,451963,1,R1V2,33.97277,-118.41209
Bldg-New,WEST LA,4/15/2013,645000,1,R1-1,34.04462,-118.56056
Bldg-New,VAN NUYS,10/12/2016,180000,1,R1-1-RIO,34.19816,-118.55332
Bldg-New,METRO,4/16/2015,720000,1,R2-1XL,34.08644,-118.35935
Bldg-New,WEST LA,6/29/2018,400000,1,R1V1,34.04389,-118.52024
Bldg-New,VAN NUYS,6/16/2015,576000,1,R1-1,34.16063,-118.47545
Bldg-New,WEST LA,2/21/2018,1600000,1,RE20-1,34.03036,-118.52078
Bldg-New,WEST LA,10/28/2016,700000,1,R1-1,34.04908,-118.52375
Bldg-New,METRO,12/5/2014,211060,1,RD1.5-1,34.16641,-118.39445
Bldg-New,VAN NUYS,12/1/2017,305000,1,(T)(Q)R1-1,34.22603,-118.6238
Bldg-New,VAN NUYS,11/22/2013,120300,1,RA-1,34.23006,-118.36503
Bldg-New,VAN NUYS,1/28/2015,181600,1,(T)(Q)RD2-1,34.20914,-118.46494
Bldg-New,VAN NUYS,7/11/2018,408646,1,RE11-1,34.14627,-118.45995
Bldg-New,METRO,5/4/2017,165000,1,(T)RD2-1,34.24159,-118.44484
Bldg-New,VAN NUYS,11/30/2015,162000,1,(T)(Q)RD3-1,34.20861,-118.39762
Bldg-New,VAN NUYS,6/6/2014,235630,1,(T)(Q)RD5-1,34.24582,-118.41039
Bldg-New,VAN NUYS,12/10/2015,275000,1,(T)R1-1,34.21087,-118.56343
Bldg-New,VAN NUYS,1/14/2016,550000,1,R1-1,34.15863,-118.40203
Bldg-New,VAN NUYS,9/20/2013,200862,1,C2-1,34.0827,-118.3122
Bldg-New,VAN NUYS,11/19/2014,135000,1,R1-1,34.18288,-118.41098
Bldg-New,VAN NUYS,2/18/2015,200000,1,R3-1,34.10241,-118.31251
Bldg-New,VAN NUYS,11/19/2014,675000,1,[T]RE-1,34.29181,-118.58563
Bldg-Alter/Repair,VAN NUYS,5/9/2013,46000,1,(Q)RD2-1,34.25198,-118.42667
Bldg-Alter/Repair,METRO,5/8/2014,30000,1,R1-1,34.25582,-118.40698
Bldg-Alter/Repair,SANPEDRO,3/16/2015,20000,1,R2-1-O,34.05264,-118.35306
Bldg-New,METRO,12/2/2014,500000,1,R1-1,34.03628,-118.40274
Bldg-New,VAN NUYS,6/25/2018,315000,1,(T)(Q)R3-1,34.21987,-118.58192
Bldg-Addition,SOUTH LA,9/23/2014,125000,1,R2-1,33.95634,-118.26389
Bldg-New,VAN NUYS,3/4/2015,394000,1,R1-1,34.07712,-118.37014
Bldg-New,VAN NUYS,12/22/2014,300000,1,RE15-1-H,34.10791,-118.35537
Bldg-New,WEST LA,2/6/2018,690000,1,R1-1,34.06554,-118.43572
Bldg-Addition,METRO,6/21/2016,12000,1,R2-1,34.00559,-118.26401
Bldg-New,METRO,5/16/2016,301725,1,[Q]R1-1D,34.09718,-118.16349
Bldg-New,VAN NUYS,11/30/2015,932000,1,R1-1,34.04382,-118.53441
Bldg-New,WEST LA,4/10/2014,385000,1,R1-1,34.01633,-118.43936
Bldg-Alter/Repair,METRO,7/25/2013,5000,1,RD2-1VL,34.08566,-118.27986
Bldg-New,VAN NUYS,12/9/2015,721000,1,R1-1-RFA-RIO,34.1529,-118.39008
Bldg-New,VAN NUYS,8/27/2015,182000,1,(T)(Q)RD1.5-1,34.25922,-118.40237
Bldg-New,VAN NUYS,10/17/2014,249700,1,RD1.5-1-O,33.98732,-118.46173
Bldg-New,VAN NUYS,1/22/2016,106000,1,R3-1VL,34.08174,-118.26975
Bldg-New,VAN NUYS,7/20/2015,230000,1,(T)(Q)RD4-1XL,34.22581,-118.57084
Bldg-New,METRO,9/29/2016,212754,1,[Q]C2-1VL-CDO,34.12278,-118.22205
Bldg-New,WEST LA,9/9/2016,2950000,1,RE11-1,34.09358,-118.39118
Bldg-New,VAN NUYS,5/27/2016,505000,1,R1-1-RFA-RIO,34.15353,-118.38904
Bldg-Addition,SOUTH LA,1/9/2018,235000,1,R2-1,33.93378,-118.2818
Bldg-New,VAN NUYS,9/9/2013,558000,1,R1-1,34.15801,-118.47286
Bldg-New,WEST LA,11/14/2018,1000000,1,RE15-1-H,34.11199,-118.36099
Bldg-New,VAN NUYS,9/8/2014,550000,1,R1-1-RFA,34.14916,-118.39331
Bldg-New,VAN NUYS,3/19/2014,230000,1,R1-1-RFA,34.25365,-118.29926
Bldg-Addition,SOUTH LA,8/23/2013,200000,1,R2-1,33.96337,-118.27576
Bldg-New,VAN NUYS,5/12/2017,326002,1,(T)(Q)RD6-1,34.2233,-118.48335
Bldg-Alter/Repair,VAN NUYS,4/10/2014,40000,1,RD1.5-1-O-HPOZ,34.03194,-118.30008
Bldg-New,WEST LA,2/27/2014,370000,1,R1-1VLD,34.00031,-118.45415
Bldg-New,METRO,4/7/2017,655000,1,RE15-1-H,34.09463,-118.41786
Bldg-New,METRO,3/13/2013,347036,1,R1-1,34.04573,-118.47247
Bldg-New,VAN NUYS,1/6/2015,1065000,1,R1-1,34.03712,-118.52482
Bldg-New,VAN NUYS,2/3/2015,510000,1,R1-1,34.08484,-118.34995
Bldg-New,METRO,3/19/2014,280000,1,RD2-1,34.13207,-118.26748
Bldg-New,VAN NUYS,8/30/2017,570000,1,R1-1-RIO,34.14937,-118.35757
Bldg-New,VAN NUYS,12/13/2013,213857,1,R1-1,34.0093,-118.42076
Bldg-New,METRO,8/8/2013,321162,1,R4(PV),33.97337,-118.41913
Bldg-New,METRO,10/10/2017,290000,1,[Q]RD1.5-1,34.19372,-118.45178
Bldg-New,VAN NUYS,7/3/2018,573000,1,R1V2,34.01325,-118.44337
Bldg-New,VAN NUYS,3/18/2015,181600,1,(T)(Q)RD2-1,34.20919,-118.46358
Bldg-New,VAN NUYS,11/4/2015,430000,1,[T]RE-1,34.29223,-118.57875
Bldg-Addition,WEST LA,2/16/2017,190688,1,R3-1,34.03066,-118.41495
Bldg-Addition,VAN NUYS,4/24/2015,70000,1,RS-1,34.28575,-118.50492
Bldg-New,VAN NUYS,2/5/2014,316000,1,R1-1,34.20193,-118.50477
Bldg-New,METRO,7/29/2016,1200000,1,R1-1,34.09796,-118.37887
Bldg-New,SANPEDRO,4/2/2019,260000,1,R1-1XL-O,33.78543,-118.26626
Bldg-New,METRO,3/15/2013,96174,1,RD1.5-1,33.99771,-118.47216
Bldg-New,VAN NUYS,4/29/2013,475000,1,R1-1,34.06368,-118.34172
Bldg-New,METRO,10/17/2014,125000,1,RE20-1-H,34.09645,-118.45666
Bldg-New,VAN NUYS,11/1/2013,530000,1,R1-1,34.16135,-118.42831
Bldg-New,METRO,8/22/2013,142206,1,RD3-1,34.19334,-118.38001
Bldg-New,METRO,12/26/2013,205600,1,[T][Q]RD1.5-1,33.75748,-118.29434
Bldg-New,VAN NUYS,4/6/2018,160000,1,RD2-1-CDO-RIO,34.0869,-118.22338
Bldg-New,VAN NUYS,1/17/2017,267000,1,RA-1,34.20915,-118.55137
Bldg-New,VAN NUYS,6/18/2015,350000,1,R1-1,34.04136,-118.37098
Bldg-New,VAN NUYS,9/5/2017,572000,1,R1-1-RIO,34.16382,-118.46164
Bldg-New,VAN NUYS,11/12/2014,842550,1,RA-1,34.16866,-118.51541
Bldg-New,VAN NUYS,11/20/2013,121000,1,R1-1,34.20311,-118.48171
Bldg-New,VAN NUYS,7/17/2017,460000,1,RS-1,34.21211,-118.4172
Bldg-New,VAN NUYS,1/29/2018,361000,1,(T)(Q)RD3-1-RIO,34.1994,-118.54541
Bldg-Addition,VAN NUYS,3/6/2015,100000,1,RD1.5-1XL,34.08079,-118.34171
Bldg-New,METRO,5/22/2014,352044,1,R4(PV),33.9741,-118.41767
Bldg-New,METRO,2/9/2017,219750,1,[Q]RD1.5-1XL-O,33.79397,-118.28976
Bldg-Addition,METRO,1/30/2014,149056,1,RD1.5-1,34.03122,-118.35671
Bldg-New,VAN NUYS,8/13/2014,270000,1,[Q]R4-1-O,34.02117,-118.31005
Bldg-New,VAN NUYS,11/14/2014,415000,1,(T)(Q)RA-1-K,34.26641,-118.60672
Bldg-New,METRO,6/24/2014,331252,1,R4(PV),33.97444,-118.41896
Bldg-New,VAN NUYS,6/12/2017,652000,1,R2-1XL,34.08578,-118.34073
Bldg-New,METRO,1/25/2016,437812,1,RE11-1,34.21939,-118.64803
Bldg-New,METRO,1/9/2014,252835,1,[Q]R3-1-O,34.05111,-118.36897
Bldg-Alter/Repair,VAN NUYS,4/7/2017,18400,1,R1-1,34.17353,-118.401
Bldg-Alter/Repair,VAN NUYS,11/3/2015,20000,1,R1-1,34.25269,-118.41855
Bldg-New,METRO,1/16/2015,264780,1,[Q]C2-1VL,33.9601,-118.40419
Bldg-New,VAN NUYS,7/12/2017,611000,1,R1-1-O,34.04169,-118.39296
Bldg-New,VAN NUYS,4/3/2017,100000,1,R1-1,34.04314,-118.3716
Bldg-New,SOUTH LA,7/24/2014,227250,1,RD1.5-1,34.03966,-118.36477
Bldg-New,VAN NUYS,8/7/2014,170000,1,R3-1,34.10267,-118.31288
Bldg-Alter/Repair,SOUTH LA,5/16/2017,10000,1,R1-1,34.00943,-118.32055
Bldg-New,WEST LA,2/24/2016,845000,1,R1-1,34.05592,-118.44005
Bldg-New,METRO,3/14/2014,550000,1,R1-1,34.11027,-118.32628
Bldg-New,VAN NUYS,1/9/2013,162400,1,(Q)RD1.5-1VL,34.31255,-118.42531
Bldg-New,VAN NUYS,10/9/2014,415000,1,R1-1,34.15562,-118.45184
Bldg-New,SOUTH LA,1/9/2017,200000,1,RD1.5-1,34.04222,-118.35946
Bldg-New,VAN NUYS,4/12/2013,259000,1,R1-1,34.21339,-118.57201
Bldg-New,VAN NUYS,12/23/2016,715000,1,R2-1XL,34.0865,-118.35415
Bldg-New,METRO,3/10/2017,420000,1,R1-1,33.97326,-118.4085
Bldg-New,VAN NUYS,5/5/2014,216000,1,C2-1,34.08316,-118.31202
Bldg-New,METRO,10/11/2013,500000,1,R2-1XL,34.08667,-118.35856
Bldg-New,METRO,10/22/2015,55000,1,R2-1VL,34.098,-118.25673
Bldg-New,METRO,8/31/2015,113000,1,RD1.5-1,34.07188,-118.17133
Bldg-Alter/Repair,METRO,5/23/2014,15000,1,R3-1,34.0798,-118.3026
Bldg-New,VAN NUYS,11/2/2016,800000,1,R1-1-RFA-RIO,34.14376,-118.38019
Bldg-New,VAN NUYS,1/28/2015,181600,1,(T)(Q)RD2-1,34.20894,-118.46443
Bldg-New,VAN NUYS,5/23/2017,249000,1,(T)R1-1-RIO,34.19358,-118.54156
Bldg-New,SOUTH LA,10/22/2015,50000,1,R2-1,33.95594,-118.27908
Bldg-New,METRO,9/8/2017,233167,1,(T)(Q)RAS3-1VL,34.18683,-118.41836
Bldg-New,WEST LA,10/31/2016,210236,1,R4-1VL,34.16115,-118.37152
Bldg-New,METRO,10/10/2017,210000,1,[Q]RD1.5-1,34.19349,-118.45147
Bldg-New,METRO,12/26/2014,125674,1,RD2-1,33.93332,-118.24647
Bldg-Alter/Repair,VAN NUYS,4/11/2017,17000,1,R1-1,34.21385,-118.40546
