Permit Type,Initiating Office,Issue Datw,Valuation,# of Residential Units,Zone,Latitude,Longitude
Bldg-New,VAN NUYS,2/18/2020,550000,1,[T]RE-1,34.29724,-118.58124
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,VAN NUYS,5/10/2019,345000,1,RA-1,34.20628,-118.55373
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,VAN NUYS,11/6/2018,722000,1,RE15-1-H,34.13586,-118.48349
Bldg-New,VAN NUYS,6/19/2019,150000,1,R1-1-CUGU,34.25385,-118.40488
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-Alter/Repair,VAN NUYS,2/13/2020,10000,1,RD1.5-1,34.19158,-118.38543
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-New,VAN NUYS,6/15/2018,615000,1,RA-1,34.15791,-118.50614
Bldg-New,METRO,11/2/2017,225000,1,RD1.5-1,34.10701,-118.18376
Bldg-New,WEST LA,7/3/2018,395280,1,R1-1,33.99059,-118.43891
Bldg-New,VAN NUYS,3/7/2019,688000,1,[T]RE-1,34.28293,-118.581
Bldg-New,VAN NUYS,3/23/2017,380000,1,R1-1,34.12485,-118.34835
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-New,VAN NUYS,5/29/2019,195000,1,RU-1,34.28157,-118.38495
Bldg-Addition,WEST LA,6/9/2017,250000,1,RD1.5-1,33.99768,-118.46687
Bldg-New,VAN NUYS,10/18/2018,698000,1,R1-1-O-RFA,34.06601,-118.36307
Bldg-New,METRO,5/10/2019,0,1,R2-1VL-RIO,34.1017,-118.24684
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,METRO,2/5/2018,200000,1,RD2-1VL,34.09761,-118.27432
Bldg-New,METRO,1/20/2016,800000,1,R1-1-O,34.07916,-118.37407
Bldg-New,WEST LA,8/12/2019,120000,1,R1-1-RIO,34.11824,-118.26192
Bldg-New,METRO,11/8/2018,325000,1,R1-1,34.20658,-118.6026
Bldg-New,VAN NUYS,3/7/2019,688000,1,[T]RE-1,34.28339,-118.5804
Bldg-New,METRO,11/2/2017,225000,1,RD1.5-1,34.10706,-118.18387
Bldg-New,VAN NUYS,5/29/2019,195000,1,RU-1,34.28176,-118.38464
Bldg-New,METRO,5/22/2017,750000,1,R1-1,34.10865,-118.32661
Bldg-New,VAN NUYS,12/17/2018,750000,1,RE11-1,34.04826,-118.50718
Bldg-New,METRO,9/15/2017,200000,1,RD2-1VL,34.09733,-118.27464
Bldg-New,SANPEDRO,2/9/2017,1560000,1,RE15-1-H,34.10115,-118.38641
Bldg-New,METRO,1/25/2017,274600,1,R1-1,34.04409,-118.43036
Bldg-New,VAN NUYS,3/21/2019,214000,1,[Q]R1-1D,34.06501,-118.17624
Bldg-New,VAN NUYS,5/29/2019,195000,1,RU-1,34.28135,-118.38472
Bldg-New,METRO,1/23/2020,175360,1,[Q]R1-1D,34.08222,-118.19744
Bldg-New,VAN NUYS,12/28/2018,246000,1,(T)(Q)C2-1,34.21979,-118.6095
Bldg-New,WEST LA,1/24/2020,252904,1,RD1.5-1VL-O,34.05001,-118.42909
Bldg-New,VAN NUYS,5/29/2019,195000,1,RU-1,34.28168,-118.38456
Bldg-New,METRO,11/2/2017,225000,1,RD1.5-1,34.10697,-118.18368
Bldg-New,METRO,11/8/2018,325000,1,R1-1,34.20694,-118.60274
Bldg-New,WEST LA,1/24/2020,222584,1,RD1.5-1VL-O,34.05001,-118.42909
Bldg-New,METRO,5/11/2016,270000,1,R1-1,34.09888,-118.22524
Bldg-New,VAN NUYS,5/29/2019,195000,1,RU-1,34.28183,-118.38472
Bldg-New,WEST LA,5/7/2018,700000,1,RE11-1,34.04976,-118.51449
Bldg-New,VAN NUYS,10/10/2017,679000,1,R1-1,34.04939,-118.53777
Bldg-New,VAN NUYS,6/25/2018,450000,1,R1-1,34.1075,-118.22783
Bldg-New,WEST LA,8/8/2017,350000,1,R2-1VL,34.10452,-118.25406
Bldg-New,VAN NUYS,6/13/2019,650000,1,[T]RE-1,34.2844,-118.57785
Bldg-New,VAN NUYS,7/10/2018,760000,1,RE15-1-H,34.14772,-118.48829
Bldg-New,WEST LA,11/21/2018,583894,1,R1-1,34.14859,-118.4512
Bldg-New,SOUTH LA,9/20/2018,196000,1,R3-1,33.96201,-118.28488
Bldg-New,WEST LA,5/30/2018,1000000,1,R1-1,34.03657,-118.52491
Bldg-New,METRO,6/12/2020,300000,1,RD1.5-1XL-RIO,34.10986,-118.26602
Bldg-New,VAN NUYS,6/13/2019,688000,1,[T]RE-1,34.28443,-118.57806
Bldg-New,WEST LA,1/29/2019,500000,1,R1V2,34.03344,-118.40546
Bldg-New,VAN NUYS,9/20/2018,941350,1,RA-1,34.23221,-118.4983
Bldg-New,WEST LA,9/26/2018,422919,1,R1V2,34.00675,-118.44911
Bldg-New,VAN NUYS,6/8/2020,822000,1,RA-1,34.14907,-118.55624
Bldg-New,VAN NUYS,8/1/2019,400000,1,R1V1,34.04878,-118.52052
Bldg-New,VAN NUYS,7/18/2017,300000,1,RD1.5-1-O,34.05567,-118.42409
Bldg-New,METRO,5/14/2015,264017,1,R2-1,33.83528,-118.29942
Bldg-New,VAN NUYS,1/3/2019,950000,1,RE11-1,34.14604,-118.50484
Bldg-New,VAN NUYS,6/13/2019,711000,1,[T]RE-1,34.28446,-118.57829
Bldg-New,METRO,2/5/2018,200000,1,RD2-1VL,34.0976,-118.27446
Bldg-New,VAN NUYS,5/30/2019,400000,1,R1-1,34.15939,-118.38508
Bldg-Addition,METRO,8/23/2017,200000,1,R2-1XL,34.08652,-118.31047
Bldg-New,METRO,11/8/2017,212222,1,RD1.5-1,34.12281,-118.21902
Bldg-New,WEST LA,12/16/2016,980000,1,R1-1-O,34.04418,-118.39609
Bldg-New,VAN NUYS,3/7/2019,790000,1,[T]RE-1,34.28484,-118.57279
Bldg-New,METRO,1/31/2020,290041,1,RE11-1,34.12613,-118.19249
Bldg-New,WEST LA,1/27/2020,760000,1,RE20-1,34.06454,-118.48847
Bldg-New,VAN NUYS,8/18/2016,1500000,1,RE40-1-H,34.12513,-118.39743
Bldg-Alter/Repair,VAN NUYS,5/8/2017,16000,1,R1-1,34.21008,-118.52181
Bldg-New,VAN NUYS,1/24/2019,433000,1,R1V3,34.07465,-118.36356
Bldg-New,SOUTH LA,6/10/2019,191000,1,RD2-1,33.94834,-118.28626
Bldg-New,VAN NUYS,3/7/2019,710000,1,[T]RE-1,34.28474,-118.57303
Bldg-New,METRO,1/30/2020,980000,1,RD1.5-1,33.99313,-118.46748
Bldg-Addition,VAN NUYS,8/15/2018,106000,1,R1-1-HPOZ,34.12166,-118.17648
Bldg-New,METRO,1/30/2020,650000,1,R1-1,34.13717,-118.41014
